cluster_id,duplicate_type,topic,items,recommendation,notes
DUP-001,near duplicate,About Mjolnir,"Freshdesk: About Mjølnir | RTD: What is Mjolnir? | Main website: About Mjolnir | Main website: Home",Merge,"Keep one canonical Getting Started/About page; retain a short website summary that links to canonical docs."
DUP-002,near duplicate,VPN access and login,"Freshdesk: VPN access and login to Mjolnir | RTD: VPN access and login",Merge,"Freshdesk has the fuller VPN/login procedure; RTD appears skeletal and should redirect or be expanded from the canonical page."
DUP-003,near duplicate,SSH shortcuts and keys,"Freshdesk: SSH shortcut | Freshdesk: SSH Key connection to mjolnirgate | RTD: VPN access and login#SSH shortcut",Merge,"Combine SSH config shortcut, SSH key setup, GitHub SSH guidance, and login node restrictions into one Login & SSH section."
DUP-004,near duplicate,Hardware,"Freshdesk: Hardware | RTD: Hardware | Main website: Hardware",Merge,"Main website and Freshdesk contain similar cluster descriptions; maintain canonical hardware specs and reference them from website."
DUP-005,near duplicate,Databases,"Freshdesk: Available databases | Freshdesk: Request a new database | Freshdesk: Request access to shared databases as a non-mjolnir user | RTD: Databases | Main website: Databases | Freshdesk archive: Globe-wide Database Repository",Merge,"Split canonical docs into Overview, Request a database, and Access for non-Mjolnir users; archive announcement content after extracting still-current policy."
DUP-006,near duplicate,Project folders and storage,"Freshdesk: Personal project folder | RTD: Project/data folders | Freshdesk archive: Data Migration and Storage Transition | Freshdesk archive: Closing of Mjolnir1",Merge,"Current storage rules should be a canonical Storage page; old Mjolnir1 migration emails should be archived after extracting any active deadlines/policies."
DUP-007,near duplicate,Backup snapshots,"Freshdesk: Snapshot backup | RTD: Backup",Merge,"Freshdesk contains actionable content; RTD page is very short. Merge into Storage/Backup."
DUP-008,near duplicate,Disruptions/status,"Freshdesk: Disruptions | RTD: Disruptions | Main website: Disruptions",Keep,"Use website/status page for live incidents and canonical docs for how users should interpret/report disruptions."
DUP-009,near duplicate,New software requests,"Freshdesk: New software request | RTD: New software request | Main website: Software",Merge,"Keep a canonical request workflow and link from software catalog/website."
DUP-010,near duplicate,Software digest,"Freshdesk: Software installation digest email | RTD: Software installation digest email",Merge,"Keep as a small canonical FAQ or fold into Software page."
DUP-011,near duplicate,New user/account requests,"Freshdesk: New user request | RTD: New user request | Main website: Account request link",Merge,"Single access/account onboarding page should cover eligibility, PI approval, KU-ID expectations, and request workflow."
DUP-012,near duplicate,Primary email and communication preference,"Freshdesk: Add/change primary email and change communication preference | RTD: Add/change primary email and change communication preference | Freshdesk archive: 2024-01-09 continued SLURM access",Merge,"Convert into user account maintenance page; archive email after extracting reason for keeping primary email current."
DUP-013,same topic,Slurm job submission and monitoring,"RTD: Submitting jobs | RTD: Canceling Jobs | RTD: Monitoring Jobs | Freshdesk: Normal QoS | Freshdesk: CPU/GPU/Teaching partitions | Freshdesk archive: QoS & Partition Limits",Merge,"RTD contains general Slurm commands; Freshdesk contains newer queue/QoS policy. Merge into modern Slurm guide with separate Queue/QoS reference."
DUP-014,same topic,GPU jobs,"Freshdesk: Using the GPU partition for GPU-Intensive Jobs | RTD: Submitting jobs",Keep,"Keep a dedicated GPU page, but expand it with concrete sbatch examples, CUDA/modules guidance, limits, and monitoring."
DUP-015,same topic,Data transfer,"Freshdesk: FileZilla and PuTTY | Freshdesk: filetransfer QoS | RTD: Project/data folders",Merge,"Create a Storage/Data transfer guide covering rsync/sftp/FileZilla/PuTTY and when to use filetransfer QoS."
DUP-016,same topic,Support/community,"Freshdesk: Discord server | RTD: Tips & Tricks#Discord server | Main website: Support ticket link",Keep,"Keep support channels in a Contact/Support page; avoid duplicating Discord link in multiple small articles."
DUP-017,exact duplicate,Home page canonical URL,"Main website: https://mjolnir-ucph.dk/ | Main website: https://mjolnir-ucph.dk/index.html",Keep,"Same page is reachable via root and index.html. Canonicalize preferred URL in future implementation."
DUP-018,archive cluster,Maintenance and email announcements,"Freshdesk archive email articles from 2024-2026",Archive,"Preserve as changelog/history, not regular how-to docs. Extract durable rules into canonical pages."
